category	kaomoji	description
((╬◣﹏◢))	Anger	
٩(╬ʘ益ʘ╬)۶	Anger	
(╬ Ò﹏Ó)	Anger	
＼＼٩(๑`^´๑)۶／／	Anger	
(凸ಠ益ಠ)凸	Anger	
↑_(ΦwΦ)Ψ	Anger	
←~(Ψ▼ｰ▼)∈	Anger	
୧((#Φ益Φ#))୨	Anger	
٩(ఠ益ఠ)۶	Anger	
(ﾉಥ益ಥ)ﾉ	Anger	
(≖､≖╬)	Anger	
(ノ_<。)	Sadness	
(-_-)	Sadness	
(´-ω-`)	Sadness	
.･ﾟﾟ･(／ω＼)･ﾟﾟ･.	Sadness	
(μ_μ)	Sadness	
(ﾉД`)	Sadness	
(-ω-、)	Sadness	
。゜゜(´Ｏ`) ゜゜。	Sadness	
o(TヘTo)	Sadness	
( ; ω ; )	Sadness	
(｡╯︵╰｡)	Sadness	
｡･ﾟﾟ*(>д<)*ﾟﾟ･｡	Sadness	
( ﾟ，_ゝ｀)	Sadness	
(个_个)	Sadness	
(╯︵╰,)	Sadness	
｡･ﾟ(ﾟ><ﾟ)ﾟ･｡	Sadness	
( ╥ω╥ )	Sadness	
(╯_╰)	Sadness	
(╥_╥)	Sadness	
.｡･ﾟﾟ･(＞_＜)･ﾟﾟ･｡.	Sadness	
(／ˍ・、)	Sadness	
(ノ_<、)	Sadness	
(╥﹏╥)	Sadness	
｡ﾟ(｡ﾉωヽ｡)ﾟ｡	Sadness	
(つω`｡)	Sadness	
(｡T ω T｡)	Sadness	
(ﾉω･､)	Sadness	
･ﾟ･(｡>ω<｡)･ﾟ･	Sadness	
(T_T)	Sadness	
(>_<)	Sadness	
(っ˘̩╭╮˘̩)っ	Sadness	
｡ﾟ･ (>﹏<) ･ﾟ｡	Sadness	
o(〒﹏〒)o	Sadness	
(｡•́︿•̀｡)	Sadness	
(ಥ﹏ಥ)	Sadness	
(ಡ‸ಡ)	Sadness	
~(>_<~)	Pain	
☆⌒(> _ <)	Pain	
☆⌒(>。<)	Pain	
(☆_@)	Pain	
(×_×)	Pain	
(x_x)	Pain	
(×_×)⌒☆	Pain	
(x_x)⌒☆	Pain	
(×﹏×)	Pain	
☆(＃××)	Pain	
(＋_＋)	Pain	
[ ± _ ± ]	Pain	
٩(× ×)۶	Pain	
_:(´ཀ`」 ∠):_	Pain	
(ﾒ﹏ﾒ)	Pain	
(ノωヽ)	Fear	
(／。＼)	Fear	
(ﾉ_ヽ)	Fear	
..・ヾ(。＞＜)シ	Fear	
(″ロ゛)	Fear	
(;;;*_*)	Fear	
(・人・)	Fear	
＼(〇_ｏ)／	Fear	
(/ω＼)	Fear	
(/_＼)	Fear	
〜(＞＜)〜	Fear	
Σ(°△°|||)︴	Fear	
(((＞＜)))	Fear	
{{ (>_<) }}	Fear	
＼(º □ º l|l)/	Fear	
〣( ºΔº )〣	Fear	
▓▒░(°◡°)░▒▓	Fear	
ヽ(ー_ー )ノ	Indifference	
ヽ(´ー` )┌	Indifference	
┐(‘～` )┌	Indifference	
ヽ(　￣д￣)ノ	Indifference	
┐(￣ヘ￣)┌	Indifference	
ヽ(￣～￣　)ノ	Indifference	
╮(￣_￣)╭	Indifference	
ヽ(ˇヘˇ)ノ	Indifference	
┐(￣～￣)┌	Indifference	
┐(︶▽︶)┌	Indifference	
╮(￣～￣)╭	Indifference	
¯\_(ツ)_/¯	Indifference	
┐( ´ д ` )┌	Indifference	
╮(︶︿︶)╭	Indifference	
┐(￣∀￣)┌	Indifference	
┐( ˘ ､ ˘ )┌	Indifference	
╮(︶▽︶)╭	Indifference	
╮( ˘ ､ ˘ )╭	Indifference	
┐( ˘_˘ )┌	Indifference	
╮( ˘_˘ )╭	Indifference	
┐(￣ヮ￣)┌	Indifference	
